Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
94,Anthony Edwards\edwaran01,SG,19,MIN,31,14,28.5,5.3,14.1,.375,1.8,5.8,.313,3.5,8.3,.419,.439,1.9,2.4,.795,0.6,3.1,3.6,2.5,0.7,0.4,1.6,1.5,14.3
95,Danny Green\greenda02,SF,33,PHI,31,31,28.5,3.1,7.7,.403,2.3,5.9,.385,0.8,1.8,.464,.550,0.4,0.5,.647,0.9,2.6,3.5,1.8,1.2,0.7,1.4,1.8,8.8
96,Josh Hart\hartjo01,SF,25,NOP,30,2,28.4,3.2,6.9,.457,1.5,4.1,.358,1.7,2.8,.600,.563,1.3,1.8,.722,1.0,6.6,7.6,2.1,0.8,0.3,0.8,2.2,9.1
97,Patrick Williams\willipa01,PF,19,CHI,29,29,28.3,3.8,8.1,.466,0.9,2.3,.394,2.9,5.8,.494,.521,1.7,2.1,.803,0.9,4.0,4.8,1.2,0.8,0.7,1.6,2.3,10.1
98,LaMelo Ball\ballla01,PG,19,CHO,30,10,28.2,5.4,12.6,.431,1.8,5.2,.346,3.6,7.4,.491,.503,1.9,2.4,.806,1.5,4.6,6.1,6.1,1.6,0.4,2.8,2.6,14.6
99,Steven Adams\adamsst01,C,27,NOP,27,27,28.1,3.5,5.8,.603,0.0,0.0,.000,3.5,5.7,.606,.603,1.1,2.3,.468,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0
100,Mason Plumlee\plumlma01,C,30,DET,28,28,28.1,4.2,7.0,.602,0.0,0.2,.000,4.2,6.8,.618,.602,1.8,2.5,.700,3.0,6.0,9.0,3.5,1.0,0.7,2.1,3.6,10.2
101,Kyle Anderson\anderky01,PF,27,MEM,26,26,27.9,5.0,10.4,.478,1.7,4.1,.402,3.3,6.3,.528,.557,2.1,2.7,.771,0.8,5.3,6.2,3.6,1.1,0.7,1.5,1.9,13.7
102,Elfrid Payton\paytoel01,PG,26,NYK,31,31,27.8,5.1,11.6,.442,0.5,1.8,.250,4.7,9.8,.477,.461,1.5,2.0,.730,1.2,2.5,3.7,3.7,0.6,0.2,1.9,2.0,12.2
103,Garrett Temple\templga01,SG,34,CHI,29,8,27.8,3.3,7.6,.439,1.5,4.2,.364,1.8,3.4,.530,.538,0.9,1.1,.806,0.6,2.7,3.2,2.0,1.0,0.6,1.0,2.3,9.1
104,Jonas Valančiūnas\valanjo01,C,28,MEM,22,21,27.6,6.4,11.5,.557,0.4,1.1,.333,6.0,10.4,.581,.573,2.8,3.7,.756,3.5,7.7,11.2,1.9,0.6,0.7,2.2,3.2,16.0
105,Brandon Clarke\clarkbr01,PF,24,MEM,22,15,27.5,5.4,10.8,.502,0.6,1.8,.325,4.8,9.0,.538,.530,1.4,2.1,.674,1.6,4.0,5.5,1.7,1.1,0.7,0.6,1.7,12.8
106,Jae Crowder\crowdja01,PF,30,PHO,27,16,27.4,3.4,8.8,.391,2.4,6.8,.361,1.0,2.0,.491,.529,1.0,1.2,.848,0.4,4.6,5.0,2.2,0.9,0.2,0.7,2.1,10.4
107,Jae'Sean Tate\tateja01,SF,25,HOU,29,19,27.4,4.0,7.4,.544,0.7,2.1,.339,3.3,5.3,.627,.593,1.1,1.6,.717,1.8,3.4,5.2,1.8,1.0,0.6,1.2,2.9,9.9
108,Jarrett Allen\allenja01,C,22,TOT,30,12,27.0,4.7,7.0,.671,0.0,0.1,.250,4.7,6.9,.680,.674,3.6,4.9,.735,3.2,6.1,9.3,1.7,0.5,1.7,1.6,1.6,13.0
109,Derrick Jones Jr.\jonesde02,SF,23,POR,26,25,27.0,2.9,6.0,.487,0.7,2.6,.284,2.2,3.4,.640,.548,1.2,2.0,.585,1.9,3.0,4.9,0.8,0.8,1.0,0.7,2.5,7.8
110,Reggie Bullock\bullore01,SF,29,NYK,26,26,26.9,3.1,7.6,.409,1.7,4.7,.372,1.4,3.0,.468,.523,0.6,0.7,.842,0.3,3.2,3.4,1.3,0.7,0.2,0.7,2.4,8.6
111,Brook Lopez\lopezbr01,C,32,MIL,31,31,26.8,3.8,8.3,.461,1.5,4.4,.356,2.3,3.9,.579,.555,1.4,1.6,.824,1.5,3.7,5.1,0.6,0.5,1.4,0.8,2.0,10.5
112,Cole Anthony\anthoco01,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
113,Joe Ingles\inglejo01,SF,33,UTA,27,8,26.7,4.1,7.9,.519,2.5,5.4,.463,1.6,2.4,.646,.679,1.2,1.3,.889,0.4,3.0,3.4,4.6,0.4,0.2,1.6,1.7,11.9
114,Miles Bridges\bridgmi02,PF,22,CHO,30,2,26.6,3.7,7.8,.470,1.3,3.5,.371,2.4,4.3,.550,.553,1.1,1.2,.943,1.3,4.3,5.6,1.9,0.7,0.8,1.8,2.3,9.7
115,Cedi Osman\osmande01,SF,25,CLE,31,15,26.6,4.1,10.8,.376,2.0,6.2,.330,2.0,4.6,.438,.470,1.1,1.5,.778,0.7,2.8,3.5,2.7,0.9,0.1,1.0,2.1,11.3
116,Lonnie Walker\walkelo01,SG,22,SAS,25,22,26.6,4.0,10.0,.406,1.6,4.4,.355,2.5,5.6,.446,.484,1.1,1.4,.800,0.2,2.7,2.9,1.7,0.5,0.4,1.0,2.1,10.8
117,Donte DiVincenzo\divindo01,SG,24,MIL,31,31,26.5,3.8,9.1,.420,1.9,4.9,.388,1.9,4.2,.458,.525,0.5,0.7,.609,1.2,3.4,4.5,2.8,1.1,0.2,1.2,1.5,10.0
118,Jeff Green\greenje02,PF,34,BRK,32,15,26.5,3.4,6.8,.500,1.5,3.6,.422,1.8,3.1,.590,.613,1.2,1.4,.822,0.5,3.2,3.6,1.4,0.7,0.3,0.8,1.9,9.4
119,Monte Morris\morrimo01,PG,25,DEN,29,3,26.3,4.2,8.6,.484,1.2,3.2,.372,3.0,5.4,.551,.554,1.2,1.7,.714,0.2,2.0,2.2,3.4,0.6,0.2,0.6,0.9,10.8
120,Dāvis Bertāns\bertada01,PF,28,WAS,25,3,26.2,3.2,8.8,.368,2.9,7.8,.369,0.4,1.0,.360,.532,1.8,2.2,.833,0.4,2.8,3.2,1.0,0.7,0.3,0.6,2.4,11.2
121,Jordan Clarkson\clarkjo01,SG,28,UTA,31,0,26.2,6.8,14.8,.457,3.2,8.5,.380,3.5,6.4,.558,.565,1.5,1.6,.959,0.9,3.1,3.9,2.1,1.0,0.2,1.8,1.4,18.3
122,Doug McDermott\mcderdo01,PF,29,IND,28,8,26.2,5.1,10.1,.511,1.5,4.3,.355,3.6,5.8,.627,.587,1.3,1.6,.795,1.0,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1
123,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,28,28,26.1,3.2,7.0,.454,1.7,3.9,.427,1.5,3.1,.488,.574,1.0,1.1,.875,0.4,1.8,2.3,1.4,0.8,0.3,1.1,1.6,9.0
124,Kelly Olynyk\olynyke01,C,29,MIA,30,25,26.0,3.7,8.6,.432,2.0,6.0,.330,1.8,2.7,.663,.546,0.7,0.9,.769,1.0,4.7,5.7,2.0,0.7,0.6,1.4,2.6,10.1
125,Kyle Kuzma\kuzmaky01,SF,25,LAL,32,10,25.9,4.5,10.2,.445,1.8,5.0,.363,2.7,5.2,.524,.534,0.6,1.0,.613,1.9,4.3,6.2,1.1,0.3,0.7,1.4,1.6,11.5
